!sil 1.0	sil
--can-sego/canseco- 1.0	s eh g ow
-40-1k 1.0	w ah n k ey
-a-b-out- 1.0	b
-a-bout 1.0	b aw t
-a-cross 1.0	k r ao s
-a-fraid 1.0	f r ey d
-a-gree 1.0	g r iy
-a-head 1.0	hh eh d
-a-mongst 1.0	m ah ng s t
-a-mount 1.0	m aw n t
-a-nd 1.0	n d
-a-noth-er- 1.0	n ah dh
-a-nother 1.0	n ah dh er
-a-round 1.0	r aw n d
-a-t 1.0	t
-a-way 1.0	w ey
-ab-ou-t- 1.0	b aw
-abrode/abroad- 1.0	ax b r ow d
-ad-van-tage- 1.0	v ae n
-adamnet/adapted- 1.0	ae d ax m n eh t
-aff-ord 1.0	ow r d
-al-way-s- 1.0	w ey
-along/lawn- 1.0	ax l ao ng
-an-y 1.0	iy
-anani-mous-/unanimous- 1.0	ax n ae n ih
-ananimous/unanimous- 1.0	ax n ae n ih m ax s
-ancle/uncle- 1.0	ae ng k ax l
-anheimer/alzheimer- 1.0	ae n hh ay m er
-annuitity/annuity- 1.0	ax n uw ih t ih t iy
-any-where 1.0	w ey r
-ap/operate- 1.0	ax p
-apliplations/applications- 1.0	ae p l ih p l ey sh ih n z
-ar-f-/off- 1.0	aa r
-arear/area- 1.0	ey r iy r
-assumingly/assumably- 1.0	ax s uw m ih ng l ih
-atteck/attend- 1.0	ax t eh k
-attence/attempt- 1.0	ax t eh n s
-aware/away- 1.0	ax w ey r
-b-ee 1.0	iy
-b-een 1.0	iy n
-bacally/basically- 1.0	b ey k l iy
-bamorghini/lamborghini- 1.0	b ae m er g iy n iy
-banding/banning- 1.0	b ae n d ih ng
-be-cau-se- 1.0	k ah
-be-come 1.0	k ah m
-be-fore 1.0	f ow r
-bear-able 1.0	ax b ax l
-bec-ause 1.0	ah z
-becau-se 1.0	z
-bene-fit 1.0	f ih t
-bestes-t-/best- 1.0	b eh s t eh s
-bettle/better- 1.0	b eh t el
-bidness/business- 1.0	b ih d n ih s
-bifocers/bifocals- 1.0	b ay f ow k er z
-biness/business- 1.0	b ih n ih s
-binesses/businesses- 1.0	b ih n ih s ih z
