!SIL	SIL_S
--CAN-SEGO/CANSECO-	S_B EH_I G_I OW_E
-40-1K	W_B AH_I N_I K_I EY_E
-A-B-OUT-	B_S #1
-A-BOUT	B_B AW_I T_E #1
-A-CROSS	K_B R_I AO_I S_E #1
-A-FRAID	F_B R_I EY_I D_E #1
-A-GREE	G_B R_I IY_E
-A-HEAD	HH_B EH_I D_E #1
-A-MONGST	M_B AH_I NG_I S_I T_E
-A-MOUNT	M_B AW_I N_I T_E #1
-A-ND	N_B D_E
-A-NOTH-ER-	N_B AH_I DH_E
-A-NOTHER	N_B AH_I DH_I ER_E #1
-A-ROUND	R_B AW_I N_I D_E #1
-A-T	T_S #1
-A-WAY	W_B EY_E #1
-AB-OU-T-	B_B AW_E #1
-ABRODE/ABROAD-	AX_B B_I R_I OW_I D_E
-AD-VAN-TAGE-	V_B AE_I N_E #1
-ADAMNET/ADAPTED-	AE_B D_I AX_I M_I N_I EH_I T_E
-AFF-ORD	OW_B R_I D_E
-AL-WAY-S-	W_B EY_E #2
-ALONG/LAWN-	AX_B L_I AO_I NG_E #1
-AN-Y	IY_S #1
-ANANI-MOUS-/UNANIMOUS-	AX_B N_I AE_I N_I IH_E
-ANANIMOUS/UNANIMOUS-	AX_B N_I AE_I N_I IH_I M_I AX_I S_E
-ANCLE/UNCLE-	AE_B NG_I K_I AX_I L_E #1
-ANHEIMER/ALZHEIMER-	AE_B N_I HH_I AY_I M_I ER_E
-ANNUITITY/ANNUITY-	AX_B N_I UW_I IH_I T_I IH_I T_I IY_E
-ANY-WHERE	W_B EY_I R_E #1
-AP/OPERATE-	AX_B P_E #1
-APLIPLATIONS/APPLICATIONS-	AE_B P_I L_I IH_I P_I L_I EY_I SH_I IH_I N_I Z_E
-AR-F-/OFF-	AA_B R_E #1
-AREAR/AREA-	EY_B R_I IY_I R_E
-ASSUMINGLY/ASSUMABLY-	AX_B S_I UW_I M_I IH_I NG_I L_I IH_E
-ATTECK/ATTEND-	AX_B T_I EH_I K_E
-ATTENCE/ATTEMPT-	AX_B T_I EH_I N_I S_E
-AWARE/AWAY-	AX_B W_I EY_I R_E #1
-B-EE	IY_S #2
-B-EEN	IY_B N_E
-BACALLY/BASICALLY-	B_B EY_I K_I L_I IY_E
-BAMORGHINI/LAMBORGHINI-	B_B AE_I M_I ER_I G_I IY_I N_I IY_E
-BANDING/BANNING-	B_B AE_I N_I D_I IH_I NG_E
-BE-CAU-SE-	K_B AH_E #1
-BE-COME	K_B AH_I M_E #1
-BE-FORE	F_B OW_I R_E #1
-BEAR-ABLE	AX_B B_I AX_I L_E
-BEC-AUSE	AH_B Z_E #1
-BECAU-SE	Z_S #1
-BENE-FIT	F_B IH_I T_E #1
-BESTES-T-/BEST-	B_B EH_I S_I T_I EH_I S_E
-BETTLE/BETTER-	B_B EH_I T_I EL_E
-BIDNESS/BUSINESS-	B_B IH_I D_I N_I IH_I S_E
